DATE,M2V
2000-04-01,2.151
2000-07-01,2.141
2000-10-01,2.133
2001-01-01,2.085
2001-04-01,2.059
2001-07-01,2.014
2001-10-01,1.98
2002-01-01,1.969
2002-04-01,1.972
2002-07-01,1.953
2002-10-01,1.927
2003-01-01,1.915
2003-04-01,1.901
2003-07-01,1.905
2003-10-01,1.94
2004-01-01,1.95
2004-04-01,1.94
2004-07-01,1.949
2004-10-01,1.958
2005-01-01,1.985
2005-04-01,1.995
2005-07-01,2.0
2005-10-01,2.001
2006-01-01,2.016
2006-04-01,2.017
2006-07-01,2.006
2006-10-01,1.997
2007-01-01,1.993
2007-04-01,1.986
2007-07-01,1.977
2007-10-01,1.977
2008-01-01,1.939
2008-04-01,1.927
2008-07-01,1.908
2008-10-01,1.813
2009-01-01,1.735
2009-04-01,1.709
2009-07-01,1.711
2009-10-01,1.726
2010-01-01,1.739
2010-04-01,1.746
2010-07-01,1.748
2010-10-01,1.745
2011-01-01,1.728
2011-04-01,1.714
2011-07-01,1.656
2011-10-01,1.648
2012-01-01,1.642
2012-04-01,1.631
2012-07-01,1.612
2012-10-01,1.586
2013-01-01,1.583
2013-04-01,1.571
2013-07-01,1.568
2013-10-01,1.56
2014-01-01,1.538
2014-04-01,1.542
2014-07-01,1.547
2014-10-01,1.537
2015-01-01,1.521
2015-04-01,1.521
2015-07-01,1.512
2015-10-01,1.493
2016-01-01,1.469
2016-04-01,1.458
2016-07-01,1.448
2016-10-01,1.441
2017-01-01,1.434
2017-04-01,1.427
2017-07-01,1.431
2017-10-01,1.44
2018-01-01,1.449
2018-04-01,1.458
2018-07-01,1.459
2018-10-01,1.458
2019-01-01,1.452
2019-04-01,1.453
2019-07-01,1.443
2019-10-01,1.425
2020-01-01,1.379
2020-04-01,1.112
2020-07-01,1.161
2020-10-01,1.146
2021-01-01,1.138
2021-04-01,1.134
2021-07-01,1.131
2021-10-01,1.142
2022-01-01,1.14
